word1	word2	cnt1@2	cnt2@1	blank1	blank2	len1	len2	cnt1@1	cnt2@2
love	sex	3	55	14143	11193	231198	201879	676	552
tiger	cat	10	339	30874	33889	586965	690022	1408	2356
tiger	tiger	1408	1408	30874	30874	586965	586965	1408	1408
book	paper	80	144	14696	10672	221362	195848	655	810
computer	keyboard	5	17	21271	1611	350414	33303	944	96
computer	internet	103	36	21271	24473	350414	410638	944	1145
plane	car	3	1	1795	17940	35053	331263	141	713
train	car	20	139	9696	17940	152721	331263	479	713
telephone	communication	4	97	9910	10090	158517	164133	415	479
television	radio	32	100	28665	11874	477282	181950	1089	600
media	radio	158	0	2004	11874	39573	181950	232	600
drug	abuse	15	16	12738	20668	313036	349652	555	1400
bread	butter	14	11	13002	12484	252290	217738	605	638
cucumber	potato	3	0	7915	19642	144744	364346	293	1194
doctor	nurse	25	0	1995	19926	38933	319306	179	695
professor	doctor	0	26	6611	1995	118831	38933	314	179
student	professor	7	0	9408	6611	143161	118831	408	314
smart	student	0	0	2012	9408	37667	143161	154	408
smart	stupid	2	0	2012	4394	37667	81427	154	217
company	stock	91	13	4599	8893	83805	133128	216	413
stock	market	3	146	8893	1783	133128	36360	413	228
stock	phone	0	0	8893	9913	133128	158764	413	554
stock	CD	0	5	8893	13873	133128	231601	413	829
stock	jaguar	6	0	8893	22143	133128	432127	413	831
stock	egg	0	0	8893	9710	133128	177343	413	562
fertility	egg	0	6	8255	9710	147389	177343	331	562
stock	live	0	2	8893	1949	133128	38212	413	201
stock	life	0	0	8893	29728	133128	608091	413	776
book	library	391	76	14696	23697	221362	360789	655	1078
bank	money	121	76	13928	13256	216082	224586	1111	420
wood	forest	91	273	16001	12711	274040	250254	901	978
money	cash	37	8	13256	4461	224586	81938	420	128
professor	cucumber	0	0	6611	7915	118831	144744	314	293
king	cabbage	4	0	5011	12099	90935	228529	347	438
king	queen	9	23	5011	2363	90935	43840	347	236
king	rook	1	0	5011	1704	90935	34076	347	123
bishop	rabbi	0	0	16062	20637	232673	300787	632	709
Jerusalem	Israel	355	1029	54454	57170	962354	1100579	2436	3597
Jerusalem	Palestinian	0	216	54454	1436	962354	28546	2436	79
holy	sex	0	3	5850	11193	87539	201879	99	552
fuck	sex	0	111	13034	11193	204176	201879	426	552
Maradona	football	0	539	32447	22356	564640	344098	958	1243
football	soccer	1477	113	22356	20309	344098	377741	1243	93
football	basketball	103	24	22356	23005	344098	380345	1243	1360
football	tennis	4	11	22356	21000	344098	340033	1243	1238
tennis	racket	1	69	21000	1296	340033	26426	1238	71
Arafat	peace	0	0	1396	13211	28487	211109	87	764
Arafat	terror	0	0	1396	14015	28487	243499	87	30
Arafat	Jackson	0	0	1396	2254	28487	47153	87	283
law	lawyer	922	29	29964	17284	489198	244734	2131	368
movie	star	0	19	15951	24819	235930	437139	135	1328
movie	popcorn	16	1	15951	7425	235930	134403	135	411
movie	critic	0	34	15951	3607	235930	69162	135	246
movie	theater	0	38	15951	15570	235930	231671	135	48
physics	proton	77	0	21062	17598	361713	225882	1015	482
physics	chemistry	41	35	21062	16882	361713	277871	1015	651
space	chemistry	22	0	7377	16882	120495	277871	255	651
alcohol	chemistry	1	49	11949	16882	238080	277871	618	651
vodka	gin	7	43	9385	6707	163815	121316	442	462
vodka	brandy	6	19	9385	7507	163815	131226	442	301
drink	car	3	67	11199	17940	215095	331263	351	713
drink	ear	0	109	11199	13301	215095	240881	351	761
drink	mouth	0	0	11199	5470	215095	105600	351	133
drink	eat	13	45	11199	5470	215095	98402	351	213
baby	mother	3	14	7726	8362	129664	160942	62	314
drink	mother	0	0	11199	8362	215095	160942	351	314
car	automobile	714	183	17940	17946	331263	331539	713	187
gem	jewel	3	74	7795	1637	133124	31943	317	127
journey	voyage	4	0	1975	1821	37515	35268	181	168
boy	lad	3	2	7618	1554	120667	30355	362	88
coast	shore	112	43	7473	3196	122026	65221	414	113
asylum	madhouse	0	0	2219	1636	41438	31728	216	116
magician	wizard	0	2	1939	2528	35976	45070	175	282
midday	noon	10	114	3495	3491	62758	62513	14	113
furnace	stove	1	4	5652	5398	100709	79168	280	302
food	fruit	112	32	20171	12541	351934	260337	1031	534
bird	cock	4	39	37139	1516	747690	30286	1452	92
bird	crane	5	7	37139	2075	747690	41467	1452	204
tool	implement	11	8	9211	1238	189886	25234	353	60
brother	monk	23	0	3564	10313	65690	141561	123	235
crane	implement	0	2	2075	1238	41467	25234	204	60
lad	brother	0	0	1554	3564	30355	65690	88	123
journey	car	0	0	1975	17940	37515	331263	181	713
monk	oracle	0	0	10313	5693	141561	88489	235	192
cemetery	woodland	0	3	15619	3942	257657	82032	516	250
food	rooster	7	0	20171	13831	351934	233945	1031	317
coast	hill	0	1	7473	4645	122026	84159	414	267
forest	graveyard	4	0	12711	15621	250254	257816	978	45
shore	woodland	9	0	3196	3942	65221	82032	113	250
monk	slave	0	0	10313	40885	141561	763699	235	2238
coast	forest	4	2	7473	12711	122026	250254	414	978
lad	wizard	0	2	1554	2528	30355	45070	88	282
chord	smile	0	0	1454	3671	27854	71819	108	142
glass	magician	0	0	15293	1939	268303	35976	1292	175
noon	string	0	0	3491	2416	62513	44376	113	278
rooster	voyage	0	0	13831	1821	233945	35268	317	168
money	dollar	19	16	13256	8027	224586	161987	420	832
money	cash	37	8	13256	4461	224586	81938	420	128
money	currency	114	76	13256	11959	224586	239624	420	305
money	wealth	13	0	13256	8015	224586	125377	420	330
money	property	3	4	13256	17521	224586	270389	420	701
money	possession	0	1	13256	1941	224586	38263	420	165
money	bank	76	121	13256	13928	224586	216082	420	1111
money	deposit	2	35	13256	1387	224586	26880	420	84
money	withdrawal	3	2	13256	1218	224586	25415	420	55
money	laundering	3	17	13256	1172	224586	24532	420	45
money	operation	0	9	13256	1808	224586	36246	420	145
tiger	jaguar	17	17	30874	22143	586965	432127	1408	831
tiger	feline	0	1	30874	1270	586965	25837	1408	56
tiger	carnivore	3	14	30874	5407	586965	112850	1408	134
tiger	mammal	9	43	30874	36135	586965	760505	1408	1015
tiger	animal	0	108	30874	18708	586965	416273	1408	464
tiger	organism	0	0	30874	8873	586965	169809	1408	260
